Time,31P | 31P,43Ca | 43Ca,55Mn | 55Mn,85Rb | 85Rb,87Sr | 87Sr,89Y | 89Y,93Nb | 93Nb,139La | 139La,172Yb | 172Yb,175Lu | 175Lu,176Hf | 176Hf.14N5.1H12,178Hf | 178Hf.14N5.1H12,181Ta | 181Ta,204Pb | 204Pb,206Pb | 206Pb,208Pb | 208Pb,232Th | 232Th.14N.1H,238U | 238U.14N.1H,
,dwell time=0.001;xcal factor=66824.62237,dwell time=0.001;xcal factor=71719.77352,dwell time=0.005;xcal factor=77663.90594,dwell time=0.005;xcal factor=90291.4326,dwell time=0.005;xcal factor=90610.77921,dwell time=0.005;xcal factor=90930.12583,dwell time=0.005;xcal factor=91568.81905,dwell time=0.005;xcal factor=94936.52692,dwell time=0.005;xcal factor=102737.50764,dwell time=0.005;xcal factor=103446.6877,dwell time=0.005;xcal factor=103683.08106,dwell time=0.005;xcal factor=104155.86777,dwell time=0.005;xcal factor=104865.04783,dwell time=0.005;xcal factor=110302.095,dwell time=0.005;xcal factor=110075.4461,dwell time=0.005;xcal factor=109848.79721,dwell time=0.005;xcal factor=107129.01044,dwell time=0.005;xcal factor=106791.55622,
25.01107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
25.26132,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.51121,0,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.76141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
26.0111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26.26129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26.51127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26.76126,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27.01086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27.26135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27.51097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27.76121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.01109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.26138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
28.51106,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.76139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,0,
29.01091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.26135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.51112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.7613,1000.04000160006,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.01121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.26131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.51091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30.7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.26127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.51114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.76143,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.01117,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.26139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.51151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.76121,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.26128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.51116,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.76131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.01092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.26115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34.51099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
34.76128,1000.04000160006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35.01117,0,0,400.006400102402,0,0,0,0,0,0,0,0,0,0,0,0,800.025600819226,0,0,
35.2613,0,0,600.014400345608,0,0,0,0,0,0,0,0,0,0,0,0,600.014400345608,0,0,
35.51088,0,1000.04000160006,1400.07840439065,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,200.0016000128,0,0,
35.76124,0,0,1800.12960933187,0,0,0,0,0,0,0,0,0,0,0,400.006400102402,600.014400345608,0,0,
36.01105,0,0,2200.1936170383,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,1200.05760276493,0,0,
36.26121,0,0,2600.27042812453,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,1600.10240655402,0,0,
36.51097,0,0,1400.07840439065,0,0,0,0,0,0,0,0,0,0,0,0,1000.04000160006,0,0,
36.7613,0,0,2200.1936170383,0,200.0016000128,0,0,0,0,0,0,0,0,0,200.0016000128,1000.04000160006,0,0,
